product_id,brand,model,category,keyword,curent_price,cost,condition,location,priority,research_status,last_research_at,marketplace_scope,exclude_keywords,notes
P005,JBL,4312 MKII,speakers,JBL 4312 SPEAKERS,,,used,,high,pending,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet",
P006,JBL,,speakers,JBL Speaker Magnetic Mount,,,used,,high,pending,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P007,JBL,,,JBL,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P008,Altec,819A,speakers,Altec 819A speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P009,Altec,848A,speakers,Altec 848A speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P010,Altec,879A,speakers,Altec 879A speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P011,Altec,VALENCIA,speakers,Altec Valencia speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P012,B&W,801-3,speakers,B&W 801-3 speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P013,Bose,901-5,speakers,Bose 901-5 speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P014,Bose,901-6,speakers,Bose 901-6 speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P015,DCM,KX12,speakers,DCM KX12 speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P016,EV,REGAL300,speakers,EV Regal 300 speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P017,Empire,4000.0,speakers,Empire 4000 speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P018,Empire,9000.0,speakers,Empire 9000 speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P019,Infinity,RS 1.5,speakers,Infinity RS 1.5 speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P020,JBL,120TI,speakers,JBL 120TI speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P021,JBL,4310WX,speakers,JBL 4310WX speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P022,JBL,4311B,speakers,JBL 4311B speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P023,JBL,4311WXA,speakers,JBL 4311WXA speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P024,JBL,4312 MKII,speakers,JBL 4312 MKII speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P025,JBL,4312B MKII,speakers,JBL 4312B MKII speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P026,JBL,4312E,speakers,JBL 4312E speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P027,JBL,4333A,speakers,JBL 4333A speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P028,JBL,4343.0,speakers,JBL 4343 speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P029,JBL,4344.0,speakers,JBL 4344 speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P030,JBL,4410.0,speakers,JBL 4410 speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P031,JBL,C50 OLYMPUS,speakers,JBL C50 Olympus speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P032,JBL,C53,speakers,JBL C53 speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P033,JBL,C53 LIBRA,speakers,JBL C53 Libra speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P034,JBL,C70 ALPHA 1,speakers,JBL C70 Alpha 1 speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P035,JBL,EON515,speakers,JBL EON515 speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P036,JBL,EON515XT,speakers,JBL EON515XT speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P037,JBL,EON610,speakers,JBL EON610 speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P038,JBL,EON612,speakers,JBL EON612 speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P039,JBL,EON615,speakers,JBL EON615 speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P040,JBL,EON710NA,speakers,JBL EON710NA speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P041,JBL,L100 CENTURY,speakers,JBL L100 Century speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P042,JBL,L100T,speakers,JBL L100T speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P043,JBL,L166,speakers,JBL L166 speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
P044,JBL,L20T,speakers,JBL L20T speaker,,,,,,,,etsy,"manual, parts only, for repair, broken, pair only, empty cabinet"
